Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
"C15, C16, C17, C22, C23, C24, C25, C27",0402-TIGHT,8,1.0uF,
"C18, C19",0402-TIGHT,2,10uF,
"C20, C21",0402-TIGHT,2,4.7uF,
"C26, C28",0402-TIGHT,2,0.1uF,
D5,SOD-323,1,S4 3A/10V/280mV,
D6,LED-0603,1,RED,
D7,LED-0603,1,Yellow,
D8,LED-0603,1,BLUE,
FRAME1,CREATIVE_COMMONS,1,FRAME-LEDGER,
"J10, J13",JST04_1MM_RA,2,QWIIC_RIGHT_ANGLE,
"J11, J12, J14",Molex_200528-0200_1x20-1MP_P1.00mm_Horizontal,3,Conn_01x20,
J8,JST-2-SMD,1,JST_2MM_MALE,
J9,USB-C-16P-2LAYER-PADS,1,USB_C_2-LAYER_PADS,
"JP3, JP4",SMT-JUMPER_2_NC_TRACE_SILK,2,JUMPER-SMT_2_NC_TRACE_SILK,
Q3,SOT23-3,1,DMG2305UX 20V/4.2A/52mΩ/1.4W,
Q4,SC70-6,1,MBT3904DW1T1,
"R32, R34, R35, R38, R39, R57",0402-TIGHT,6,10k,
"R33, R36, R37",0402-TIGHT,3,4k7,
"R40, R58, R62",0402-TIGHT,3,1k,
"R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56",0402-TIGHT,16,150k,
R59,0402-TIGHT,1,2.0k,
"R60, R61",0402-TIGHT,2,5.1k,
S3,TACTILE_SWITCH_SMD_2.8X1.9MM,1,RES,
S4,TACTILE_SWITCH_SMD_2.8X1.9MM,1,B,
SW2,SW_SPDT_k3-1295,1,ON                      OFF,
U11,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,1,ADXL345,
U12,SOT23-5,1,AP2112K-3.3,
U13,ESP-WROOM-32-NARROW,1,>VALUE,
U14,SOT23-5,1,MCP73831,
"U15, U16, U17, U18",TSSOP-10_3x3mm_P0.5mm,4,ADS1115IDGS,
U19,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U20,DFN-8,1,MAX17048,
