Designator,Mid X,Mid Y,Rotation,Layer
_2,1.37,1.37,0.0,top
,17.32,1.37,0.0,top
C15,10.12,8.3,0.0,bottom
C16,10.503265,14.67,270.0,bottom
C17,9.803265,30.99,90.0,bottom
C18,9.603265,14.67,270.0,bottom
C19,8.893265,30.99,90.0,bottom
C20,10.53,6.9,90.0,bottom
C21,17.58,3.57,270.0,top
C22,21.739143,10.89,180.0,bottom
C23,21.739143,11.79,180.0,bottom
C24,21.739143,12.69,180.0,bottom
C25,21.739143,13.59,180.0,bottom
C26,5.263265,14.03,90.0,top
C27,8.703265,14.67,270.0,bottom
C28,13.99,4.24,0.0,bottom
D5,8.35,7.37,270.0,bottom
D6,3.76,1.607,90.0,top
D7,14.93,1.62,90.0,top
D8,1.62,15.143046,0.0,top
FRAME1,28.119365,-67.9736,0.0,top
J10,24.113265,37.635,180.0,top
J11,22.722802,23.394753,90.0,top
J12,4.83,21.983046,90.0,bottom
J13,4.915,10.983046,270.0,top
J14,13.85,21.983046,270.0,bottom
J8,25.514965,4.43,270.0,top
J9,9.339297,7.674908,0.0,top
JP3,3.373265,2.4807,90.0,bottom
JP4,15.313265,2.4607,90.0,bottom
Q3,11.3,4.36,90.0,bottom
Q4,9.58,12.34,180.0,bottom
R32,9.63,6.9,270.0,bottom
R33,9.273265,24.09,0.0,bottom
R34,4.45,4.36,180.0,bottom
R35,8.33,17.643046,180.0,bottom
R36,11.463265,26.52,270.0,bottom
R37,11.463265,24.61,90.0,bottom
R38,11.25,11.21,90.0,bottom
R39,7.91,11.56,270.0,bottom
R40,3.53,0.56,180.0,bottom
R41,21.738562,14.894753,180.0,bottom
R42,21.738562,15.894753,180.0,bottom
R43,21.738562,16.894753,180.0,bottom
R44,21.738562,17.894753,180.0,bottom
R45,21.738562,19.894753,180.0,bottom
R46,21.738562,20.894753,180.0,bottom
R47,21.738562,21.894753,180.0,bottom
R48,21.738562,22.894753,180.0,bottom
R49,21.738562,24.894753,0.0,bottom
R50,21.738562,25.894753,0.0,bottom
R51,21.738562,27.894753,0.0,bottom
R52,21.738562,28.894753,0.0,bottom
R53,21.738562,29.894753,0.0,bottom
R54,21.738562,30.894753,0.0,bottom
R55,21.738562,31.894753,0.0,bottom
R56,21.738562,32.894753,0.0,bottom
R57,7.453265,15.13,90.0,bottom
R58,15.16,0.56,0.0,bottom
R59,14.733265,6.7,270.0,bottom
R60,11.513116,7.8,90.0,bottom
R61,6.57,7.71,0.0,bottom
R62,1.06,16.223046,180.0,top
S3,17.518265,11.215,270.0,top
S4,17.518265,14.875,90.0,top
SW2,9.34,1.212012,180.0,bottom
U11,9.34,20.873046,180.0,bottom
U12,7.6601,4.28,270.0,bottom
U13,9.34,28.483046,90.0,top
U14,15.79,5.153183,0.0,top
U15,25.614028,13.41,90.0,bottom
U16,25.614028,19.701,90.0,bottom
U17,25.612528,25.982,90.0,bottom
U18,25.614028,32.27144,90.0,bottom
U19,11.075,12.195,90.0,top
U20,17.423265,6.69,180.0,bottom
