Designator,Mid X,Mid Y,Rotation,Layer
_3,11.633265,1.373689,0.0,top
_2,11.633265,1.373689,0.0,top
,27.583265,1.373689,0.0,top
C1,18.82,8.303689,180.0,bottom
C10,7.207764,12.703689,0.0,bottom
C11,7.207764,13.603689,0.0,bottom
C12,25.52,3.903689,180.0,bottom
C13,14.92,4.303689,180.0,bottom
C14,18.96653,14.673689,270.0,bottom
C2,20.76653,14.673689,270.0,bottom
C3,20.06653,30.993689,90.0,bottom
C4,19.86653,14.673689,270.0,bottom
C5,19.15653,30.993689,90.0,bottom
C6,19.31,6.903689,90.0,bottom
C7,12.41,4.273689,270.0,bottom
C8,7.207764,10.903689,0.0,bottom
C9,7.207764,11.803689,0.0,bottom
D1,20.59,7.335139,270.0,bottom
D2,25.193265,1.623689,90.0,top
D3,14.023265,1.610689,90.0,top
D5,27.333,15.146735,180.0,top
FRAME1,38.3761,-67.969911,0.0,top
J1,3.430617,4.433792,90.0,top
J2,19.602562,7.678597,0.0,top
J3,15.093265,21.986735,90.0,bottom
J4,24.04,10.986735,90.0,top
J5,24.113265,21.986735,270.0,bottom
J6,6.223139,23.398874,270.0,top
J7,4.833265,37.638689,180.0,top
JP1,25.57653,2.464389,90.0,bottom
JP2,13.63653,2.484389,90.0,bottom
Q1,17.67,4.363689,270.0,bottom
Q2,19.84,12.343689,180.0,bottom
R1,18.41,6.903689,270.0,bottom
R10,7.207183,14.896806,0.0,bottom
R11,7.207183,15.896806,0.0,bottom
R12,7.207183,16.896806,0.0,bottom
R13,7.207183,17.896806,0.0,bottom
R14,7.207183,19.896806,0.0,bottom
R15,7.207183,20.896806,0.0,bottom
R16,7.207183,21.896806,0.0,bottom
R17,7.207183,22.896806,0.0,bottom
R18,7.207183,24.896806,180.0,bottom
R19,7.207183,25.896806,180.0,bottom
R2,19.53653,24.093689,0.0,bottom
R20,7.207183,27.896806,180.0,bottom
R21,7.207183,28.896806,180.0,bottom
R22,7.207183,29.896806,180.0,bottom
R23,7.207183,30.896806,180.0,bottom
R24,7.207183,31.896806,180.0,bottom
R25,7.207183,32.896806,180.0,bottom
R26,17.71653,15.133689,90.0,bottom
R27,13.793265,0.563689,180.0,bottom
R28,10.94,3.873689,90.0,bottom
R29,22.37,7.713689,180.0,bottom
R3,23.76,4.633689,270.0,bottom
R30,16.86653,7.713689,0.0,bottom
R31,27.88,16.23,0.0,top
R4,18.593265,17.646735,180.0,bottom
R5,21.72653,26.523689,270.0,bottom
R6,21.72653,24.613689,90.0,bottom
R7,21.51,11.193689,90.0,bottom
R8,18.17,11.623689,270.0,bottom
R9,25.423265,0.563689,0.0,bottom
S1,11.455,14.855,270.0,top
S2,11.455,11.195,270.0,top
SW1,19.603265,1.215701,180.0,bottom
U1,19.603265,20.876735,180.0,bottom
U11,12.12,6.693689,180.0,bottom
U2,21.2799,4.283689,270.0,bottom
U3,19.603265,28.486735,90.0,top
U4,12.725054,5.163789,0.0,top
U5,3.3293,13.420799,270.0,bottom
U6,3.3293,19.70374,270.0,bottom
U7,3.33,25.99474,270.0,bottom
U8,3.3293,32.387869,270.0,bottom
U9,17.875,12.208689,90.0,top
