Designator,Footprint,Quantity,Value,LCSC Part #
"_5, _4, _3, _2, ",,5,,
"C1, C10, C11, C13, C15, C16, C17, C2, C22, C23, C24, C25, C27, C3, C8, C9",0402-TIGHT,16,1.0uF,
"C12, C14, C26, C28",0402-TIGHT,4,0.1uF,
"C18, C19, C4, C5",0402-TIGHT,4,10uF,
"C20, C21, C6, C7",0402-TIGHT,4,4.7uF,
"D1, D5",SOD-323,2,S4 3A/10V/280mV,
"D2, D6",LED-0603,2,RED,
"D3, D7",LED-0603,2,Yellow,
"D4, D8",LED-0603,2,BLUE,
"J1, J8",JST-2-SMD,2,JST_2MM_MALE,
"J10, J13, J3, J6",JST04_1MM_RA,4,QWIIC_RIGHT_ANGLE,
"J11, J12, J14, J4, J5, J7",Molex_200528-0200_1x20-1MP_P1.00mm_Horizontal,6,Conn_01x20,
"J2, J9",USB-C-16P-2LAYER-PADS,2,USB_C_2-LAYER_PADS,
"JP1, JP2, JP3, JP4",SMT-JUMPER_2_NC_TRACE_SILK,4,JUMPER-SMT_2_NC_TRACE_SILK,
"Q1, Q3",SOT23-3,2,DMG2305UX 20V/4.2A/52mΩ/1.4W,
"Q2, Q4",SC70-6,2,MBT3904DW1T1,
"R1, R26, R3, R32, R34, R35, R38, R39, R4, R57, R7, R8",0402-TIGHT,12,10k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56",0402-TIGHT,32,150k,
"R2, R33, R36, R37, R5, R6",0402-TIGHT,6,4k7,
"R27, R31, R40, R58, R62, R9",0402-TIGHT,6,1k,
"R28, R59",0402-TIGHT,2,2.0k,
"R29, R30, R60, R61",0402-TIGHT,4,5.1k,
"S1, S3",TACTILE_SWITCH_SMD_2.8X1.9MM,2,Boot,
"S2, S4",TACTILE_SWITCH_SMD_2.8X1.9MM,2,Reset,
"SW1, SW2",SW_SPDT_k3-1295,2,ON/OFF,
"U1, U11",LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,2,ADXL345,
"U10, U20",DFN-8,2,MAX17048,
"U12, U2",SOT23-5,2,AP2112K-3.3,
"U13, U3",ESP-WROOM-32-NARROW,2,>VALUE,
"U14, U4",SOT23-5,2,MCP73831,
"U15, U16, U17, U18, U5, U6, U7, U8",TSSOP-10_3x3mm_P0.5mm,8,ADS1115IDGS,
"U19, U9",SOIC-16_3.9x9.9mm_P1.27mm,2,CH340C,
