Designator,Mid X,Mid Y,Rotation,Layer
_5,46.363265,-41.173046,0.0,top
_4,30.413265,-41.173046,0.0,top
_3,27.583265,-41.173046,0.0,top
_2,11.633265,-41.173046,0.0,top
,11.633265,-41.173046,0.0,top
C1,18.82,-34.243046,180.0,bottom
C10,7.207764,-29.843046,0.0,bottom
C11,7.207764,-28.943046,0.0,bottom
C12,25.52,-38.643046,180.0,bottom
C13,18.96653,-27.873046,270.0,bottom
C14,14.92,-38.243046,180.0,bottom
C15,39.163265,-34.243046,0.0,bottom
C16,39.54653,-27.873046,270.0,bottom
C17,38.84653,-11.553046,90.0,bottom
C18,38.64653,-27.873046,270.0,bottom
C19,37.93653,-11.553046,90.0,bottom
C2,20.76653,-27.873046,270.0,bottom
C20,39.573265,-35.643046,90.0,bottom
C21,46.623265,-38.973046,270.0,top
C22,50.782408,-31.653046,180.0,bottom
C23,50.782408,-30.753046,180.0,bottom
C24,50.782408,-29.853046,180.0,bottom
C25,50.782408,-28.953046,180.0,bottom
C26,34.30653,-28.513046,90.0,top
C27,37.74653,-27.873046,270.0,bottom
C28,43.033265,-38.303046,0.0,bottom
C3,20.06653,-11.553046,90.0,bottom
C4,19.86653,-27.873046,270.0,bottom
C5,19.15653,-11.553046,90.0,bottom
C6,19.31,-35.643046,90.0,bottom
C7,12.41,-38.273046,270.0,bottom
C8,7.207764,-31.643046,0.0,bottom
C9,7.207764,-30.743046,0.0,bottom
D1,20.59,-35.211596,270.0,bottom
D2,25.193265,-40.923046,90.0,top
D3,14.023265,-40.936046,90.0,top
D4,27.333,-27.4,180.0,top
D5,37.393265,-35.173046,270.0,bottom
D6,32.803265,-40.936046,90.0,top
D7,43.973265,-40.923046,90.0,top
D8,30.663265,-27.4,0.0,top
J1,3.430617,-38.112943,90.0,top
J10,53.15653,-4.908046,180.0,top
J11,51.766067,-19.148293,90.0,top
J12,33.873265,-20.56,90.0,bottom
J13,33.958265,-31.56,270.0,top
J14,42.893265,-20.56,270.0,bottom
J2,19.602562,-34.868138,0.0,top
J3,4.833265,-4.908046,180.0,top
J4,6.223139,-19.147861,270.0,top
J5,15.093265,-20.56,90.0,bottom
J6,24.04,-31.56,90.0,top
J7,24.113265,-20.56,270.0,bottom
J8,54.55823,-38.113046,270.0,top
J9,38.382562,-34.868138,0.0,top
JP1,25.57653,-40.082346,90.0,bottom
JP2,13.63653,-40.062346,90.0,bottom
JP3,32.41653,-40.062346,90.0,bottom
JP4,44.35653,-40.082346,90.0,bottom
Q1,17.67,-38.183046,270.0,bottom
Q2,19.84,-30.203046,180.0,bottom
Q3,40.343265,-38.183046,90.0,bottom
Q4,38.623265,-30.203046,180.0,bottom
R1,18.41,-35.643046,270.0,bottom
R10,7.207183,-27.649929,0.0,bottom
R11,7.207183,-26.649929,0.0,bottom
R12,7.207183,-25.649929,0.0,bottom
R13,7.207183,-24.649929,0.0,bottom
R14,7.207183,-22.649929,0.0,bottom
R15,7.207183,-21.649929,0.0,bottom
R16,7.207183,-20.649929,0.0,bottom
R17,7.207183,-19.649929,0.0,bottom
R18,7.207183,-17.649929,180.0,bottom
R19,7.207183,-16.649929,180.0,bottom
R2,19.53653,-18.453046,0.0,bottom
R20,7.207183,-14.649929,180.0,bottom
R21,7.207183,-13.649929,180.0,bottom
R22,7.207183,-12.649929,180.0,bottom
R23,7.207183,-11.649929,180.0,bottom
R24,7.207183,-10.649929,180.0,bottom
R25,7.207183,-9.649929,180.0,bottom
R26,17.71653,-27.413046,90.0,bottom
R27,13.793265,-41.983046,180.0,bottom
R28,10.94,-38.673046,90.0,bottom
R29,22.37,-34.833046,180.0,bottom
R3,23.76,-37.913046,270.0,bottom
R30,16.86653,-34.833046,0.0,bottom
R31,27.88,-26.316735,0.0,top
R32,38.673265,-35.643046,270.0,bottom
R33,38.31653,-18.453046,0.0,bottom
R34,33.493265,-38.183046,180.0,bottom
R35,37.373265,-24.9,180.0,bottom
R36,40.50653,-16.023046,270.0,bottom
R37,40.50653,-17.933046,90.0,bottom
R38,40.293265,-31.333046,90.0,bottom
R39,36.953265,-30.983046,270.0,bottom
R4,18.593265,-24.9,180.0,bottom
R40,32.573265,-41.983046,180.0,bottom
R41,50.781827,-27.648293,180.0,bottom
R42,50.781827,-26.648293,180.0,bottom
R43,50.781827,-25.648293,180.0,bottom
R44,50.781827,-24.648293,180.0,bottom
R45,50.781827,-22.648293,180.0,bottom
R46,50.781827,-21.648293,180.0,bottom
R47,50.781827,-20.648293,180.0,bottom
R48,50.781827,-19.648293,180.0,bottom
R49,50.781827,-17.648293,0.0,bottom
R5,21.72653,-16.023046,270.0,bottom
R50,50.781827,-16.648293,0.0,bottom
R51,50.781827,-14.648293,0.0,bottom
R52,50.781827,-13.648293,0.0,bottom
R53,50.781827,-12.648293,0.0,bottom
R54,50.781827,-11.648293,0.0,bottom
R55,50.781827,-10.648293,0.0,bottom
R56,50.781827,-9.648293,0.0,bottom
R57,36.49653,-27.413046,90.0,bottom
R58,44.203265,-41.983046,0.0,bottom
R59,43.77653,-35.843046,270.0,bottom
R6,21.72653,-17.933046,90.0,bottom
R60,40.556381,-34.743046,90.0,bottom
R61,35.613265,-34.833046,0.0,bottom
R62,30.103265,-26.32,180.0,top
R7,21.51,-31.353046,90.0,bottom
R8,18.17,-30.923046,270.0,bottom
R9,25.423265,-41.983046,0.0,bottom
S1,11.455,-27.691735,270.0,top
S2,11.455,-31.351735,270.0,top
S3,46.56153,-27.668046,90.0,top
S4,46.56153,-31.328046,270.0,top
SW1,19.603265,-41.331034,180.0,bottom
SW2,38.383265,-41.331034,180.0,bottom
U1,19.603265,-21.67,180.0,bottom
U10,12.12,-35.853046,180.0,bottom
U11,38.383265,-21.67,180.0,bottom
U12,36.703365,-38.263046,270.0,bottom
U13,38.383265,-14.06,90.0,top
U14,44.833265,-37.389863,0.0,top
U15,54.657293,-29.133046,90.0,bottom
U16,54.657293,-22.842046,90.0,bottom
U17,54.655793,-16.561046,90.0,bottom
U18,54.657293,-10.271606,90.0,bottom
U19,40.118265,-30.348046,90.0,top
U2,21.2799,-38.263046,270.0,bottom
U20,46.46653,-35.853046,180.0,bottom
U3,19.603265,-14.06,90.0,top
U4,12.725054,-37.382946,0.0,top
U5,3.3293,-29.125936,270.0,bottom
U6,3.3293,-22.842995,270.0,bottom
U7,3.33,-16.551995,270.0,bottom
U8,3.3293,-10.158866,270.0,bottom
U9,17.875,-30.338046,90.0,top
