Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
"C1, C10, C2, C20, C3, C6, C8, C9",0402-TIGHT,8,1.0uF,
C12,0402-TIGHT,1,4.7uF,
"C18, C19",0402-TIGHT,2,0.1uF,
"C4, C5",0402-TIGHT,2,10uF,
C7,0603,1,4.7uF,
D1,SOD-323,1,3A/10V/280mV,
D2,LED-0603,1,RED,
D3,LED-0603,1,Yellow,
D5,LED-0603,1,BLUE,
FRAME1,CREATIVE_COMMONS,1,FRAME-LEDGER,
J1,JST-2-SMD,1,JST_2MM_MALE,
J2,USB-C-16P-2LAYER-PADS,1,USB_C_2-LAYER_PADS,
"J3, J5, J6",Molex_200528-0200_1x20-1MP_P1.00mm_Horizontal,3,Conn_01x20,
"J4, J7",JST04_1MM_RA,2,QWIIC_RIGHT_ANGLE,
"JP1, JP2",SMT-JUMPER_2_NC_TRACE_SILK,2,JUMPER-SMT_2_NC_TRACE_SILK,
Q1,SOT23-3,1,20V/4.2A/52mΩ/1.4W,
Q2,SC70-6,1,MBT3904DW1T1,
"R1, R10, R11, R12, R13, R15, R16, R17, R18, R19, R20, R21, R22, R24, R25, R26, R27, R28, R29, R3, R4, R7, R8",0402-TIGHT,23,10k,
"R14, R34, R9",0402-TIGHT,3,1k,
"R2, R5, R6",0402-TIGHT,3,4k7,
R23,0603,1,2.0k,
R30,0402-TIGHT,1,22k,
R31,0402-TIGHT,1,33k,
"R32, R33",0402-TIGHT,2,5.1k,
S1,TACTILE_SWITCH_SMD_4.6X2.8MM,1,Boot,
S2,TACTILE_SWITCH_SMD_4.6X2.8MM,1,Reset,
U1,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,1,ADXL345,
"U10, U11, U12, U9",TSSOP-10_3x3mm_P0.5mm,4,ADS1115IDGS,
U14,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,
"U2, U7",SOT23-5,2,AP2112K-3.3,
U4,ESP-WROOM-32-NARROW,1,>VALUE,
U5,SOT23-5,1,MCP73831,
U8,DFN-8,1,MAX17048,
"mouse-bite-1mm-slot_4, mouse-bite-1mm-slot_3",mouse-bite-1mm x4,2,VAL**,
mouse-bite-1mm-slot_2,mouse-bite-1mm x2,1,VAL**,
mouse-bite-1mm-slot,mouse-bite-1mm 4,1,VAL**,
mouse-bite-emm-slot,mouse-bite-1mm 2,1,VAL**,
