Designator,Mid X,Mid Y,Rotation,Layer
_5,93.176735,-84.716954,0.0,top
_4,115.740872,-71.921178,0.0,top
_3,109.126735,-84.716954,0.0,top
_2,115.733733,-65.623388,0.0,top
,115.738275,-53.056648,0.0,top
C1,97.076735,-71.426954,90.0,top
C10,119.39,-58.749,90.0,bottom
C11,119.39,-52.456453,90.0,bottom
C12,97.166735,-82.146954,0.0,bottom
C13,103.46,-82.17,270.0,bottom
C14,95.39,-70.21,90.0,top
C2,102.046735,-67.646954,0.0,bottom
C3,100.636735,-52.586954,90.0,bottom
C4,102.76,-68.56,0.0,bottom
C5,99.726735,-52.586954,90.0,bottom
C6,98.87,-81.46,270.0,bottom
C7,101.55,-82.17,270.0,bottom
C8,119.39,-71.324547,90.0,bottom
C9,119.39,-65.03,90.0,bottom
D1,107.41,-79.02,270.0,bottom
D2,95.566735,-84.479954,90.0,top
D3,106.736735,-84.466954,90.0,top
D5,93.426735,-70.146954,0.0,top
FRAME1,119.9261,-153.2636,0.0,top
J1,115.516735,-82.658654,180.0,top
J2,101.146032,-78.412046,0.0,top
J3,96.636735,-63.306954,90.0,bottom
J4,96.721735,-74.306954,270.0,top
J5,105.656735,-63.306954,270.0,bottom
J6,114.126735,-61.896954,90.0,top
J7,115.75999,-47.656707,180.0,top
JP1,95.086735,-82.726254,90.0,bottom
JP2,107.216735,-82.726254,90.0,bottom
Q1,108.87,-78.13,180.0,top
Q2,103.736735,-72.336954,90.0,top
R1,100.066735,-81.46,90.0,bottom
R10,113.008,-70.396954,180.0,bottom
R11,113.008,-69.396954,180.0,bottom
R12,113.008,-68.396954,180.0,bottom
R13,113.008,-67.396954,180.0,bottom
R14,113.008,-65.396954,180.0,bottom
R15,113.008,-64.396954,180.0,bottom
R16,113.008,-63.396954,180.0,bottom
R17,113.008,-62.396954,180.0,bottom
R18,113.008,-60.396954,0.0,bottom
R19,113.008,-59.396954,0.0,bottom
R2,101.736735,-61.176954,0.0,bottom
R20,113.008,-57.396954,0.0,bottom
R21,113.008,-56.396954,0.0,bottom
R22,113.008,-55.396954,0.0,bottom
R23,113.008,-54.396954,0.0,bottom
R24,113.008,-53.396954,0.0,bottom
R25,113.008,-52.396954,0.0,bottom
R26,102.5,-70.45,90.0,top
R27,106.966735,-85.526954,180.0,bottom
R28,104.37,-83.53,90.0,bottom
R3,97.976735,-75.426954,270.0,top
R32,103.88,-78.81,180.0,bottom
R33,98.41,-78.81,0.0,bottom
R34,92.866735,-69.066954,180.0,top
R4,100.136735,-67.646954,180.0,bottom
R5,102.466735,-52.586954,90.0,bottom
R6,101.546735,-52.586954,90.0,bottom
R7,104.16,-74.02,180.0,top
R8,103.916735,-70.656954,0.0,top
R9,95.336735,-85.526954,0.0,bottom
S1,107.746735,-73.786954,0.0,top
S2,107.746735,-70.766954,180.0,top
U1,101.146735,-64.416954,180.0,bottom
U10,98.886735,-71.6699,0.0,top
U11,109.306735,-78.61,180.0,bottom
U2,100.456635,-75.056954,270.0,top
U3,101.146735,-56.806954,90.0,top
U4,108.126635,-81.166954,90.0,top
U5,115.987198,-71.319055,90.0,bottom
U6,115.987198,-65.028055,90.0,bottom
U7,115.985698,-58.747055,90.0,bottom
U8,115.987198,-52.459055,90.0,bottom
U9,101.14,-75.0,90.0,bottom
